Gene	Cluster
CSMD1	Ex5b
KALRN	Ex5b
KHDRBS2	Ex5b
TMSB10	Ex5b
FSTL4	Ex5b
ZNF804B	Ex5b
CCSER1	Ex5b
NKAIN2	Ex5b
NRG3	Ex5b
ATRNL1	Ex5b
SLIT1	Ex5b
NELL2	Ex5b
CPNE4	Ex5b
RP1-34H18.1	Ex5b
MIR137HG	Ex5b
DSCAM	Ex5b
RBFOX1	Ex5b
RP11-586K2.1	Ex5b
PART1	Ex5b
FOXP2	Ex5b
SLC35F3	Ex5b
LRRC7	Ex5b
CHSY3	Ex5b
DNAH6	Ex5b
SV2B	Ex5b
SLC35F1	Ex5b
TENM4	Ex5b
NELL1	Ex5b
SORCS1	Ex5b
CHN1	Ex5b
CELF2	Ex5b
SLC17A7	Ex5b
CDH12	Ex5b
IQCJ-SCHIP1	Ex5b
TMEM132D	Ex5b
CABP1	Ex5b
KCNB2	Ex5b
ARPP21	Ex5b
PTPRK	Ex5b
LY86-AS1	Ex5b
HS3ST5	Ex5b
LRFN5	Ex5b
NRCAM	Ex5b
R3HDM1	Ex5b
EFNA5	Ex5b
DMD	Ex5b
SYN2	Ex5b
NECAB1	Ex5b
CHRM3	Ex5b
PCDH7	Ex5b
ENC1	Ex5b
FAM155A	Ex5b
ERC2	Ex5b
FRMD4A	Ex5b
CCK	Ex5b
FBXW7	Ex5b
THRB	Ex5b
NCAM2	Ex5b
LARGE	Ex5b
ADGRL2	Ex5b
NRGN	Ex5b
NETO1	Ex5b
MKL2	Ex5b
MMP16	Ex5b
RGS6	Ex5b
GABRG3	Ex5b
GRIA1	Ex5b
FMN1	Ex5b
MCTP1	Ex5b
SLC39A11	Ex5b
PRKD1	Ex5b
KCNQ3	Ex5b
GAP43	Ex5b
PRKCB	Ex5b
AQP4-AS1	Ex5b
RP11-191L9.4	Ex5b
GABRB3	Ex5b
SOX5	Ex5b
ST6GALNAC5	Ex5b
GRM5	Ex5b
OXR1	Ex5b
HECW1	Ex5b
KCNT2	Ex5b
PCSK2	Ex5b
DCLK1	Ex5b
KCNMB4	Ex5b
CSGALNACT1	Ex5b
MDGA2	Ex5b
RASAL2	Ex5b
ZNF385B	Ex5b
LMO4	Ex5b
AK5	Ex5b
HS3ST4	Ex5b
HTR1E	Ex5b
ANKS1B	Ex5b
SNCA	Ex5b
CELF4	Ex5b
RAPGEF4	Ex5b
GRIA3	Ex5b
CACNA2D3	Ex5b
SCN3B	Ex5b
CCDC3	Ex5b
SATB2	Ex5b
KIAA1211L	Ex5b
ATP2B1	Ex5b
VSNL1	Ex5b
CDH10	Ex5b
RP11-384F7.2	Ex5b
CDK14	Ex5b
PDE1A	Ex5b
SNTG1	Ex5b
ERICH1-AS1	Ex5b
CSMD3	Ex5b
NAV3	Ex5b
FRMPD4	Ex5b
CREG2	Ex5b
CACNA1B	Ex5b
FOXP1	Ex5b
EPHB6	Ex5b
UCHL1	Ex5b
AFF3	Ex5b
KCNMA1	Ex5b
NGEF	Ex5b
EML6	Ex5b
BMPER	Ex5b
PTPRT	Ex5b
PPFIBP1	Ex5b
AC091878.1	Ex5b
PRICKLE1	Ex5b
CACNA1C	Ex5b
CAMK1D	Ex5b
KCNH1	Ex5b
SLC4A10	Ex5b
PPP3CA	Ex5b
MAPK10	Ex5b
PID1	Ex5b
TRIM9	Ex5b
NCALD	Ex5b
AC011288.2	Ex5b
CNTN3	Ex5b
BRINP3	Ex5b
NUAK1	Ex5b
DIRAS2	Ex5b
MAP2	Ex5b
UNC80	Ex5b
DGKI	Ex5b
LINC01250	Ex5b
DOK6	Ex5b
EPHA5	Ex5b
SCN3A	Ex5b
NPAS2	Ex5b
DLGAP2	Ex5b
SLC39A10	Ex5b
MAST3	Ex5b
APBA2	Ex5b
PI4KA	Ex5b
ARHGAP26	Ex5b
PACRG	Ex5b
PRKAG2	Ex5b
SLIT3	Ex5b
HOMER1	Ex5b
NPTX1	Ex5b
MAGI3	Ex5b
VPS13A	Ex5b
SHISA9	Ex5b
NWD2	Ex5b
EXT1	Ex5b
ARL15	Ex5b
WASF1	Ex5b
PPP2R2C	Ex5b
ITPR1	Ex5b
BCL11A	Ex5b
CACNG3	Ex5b
CHD5	Ex5b
RASA2	Ex5b
SEPT11	Ex5b
MLIP	Ex5b
MICAL2	Ex5b
RAP1GAP2	Ex5b
FMN2	Ex5b
BASP1	Ex5b
GLS	Ex5b
FAT3	Ex5b
RGS4	Ex5b
KCTD16	Ex5b
TUBA1B	Ex5b
MEG8	Ex5b
DGKZ	Ex5b
LMO3	Ex5b
NIN	Ex5b
SERPINI1	Ex5b
PRICKLE2	Ex5b
KIAA1549L	Ex5b
DCC	Ex5b
NEFL	Ex5b
VPS41	Ex5b
ADAM23	Ex5b
SHC3	Ex5b
FBXL2	Ex5b
KCTD1	Ex5b
TOX	Ex5b
WDR17	Ex5b
FOCAD	Ex5b
MIR124-2HG	Ex5b
ELAVL4	Ex5b
MIAT	Ex5b
ST8SIA5	Ex5b
BSN	Ex5b
YWHAH	Ex5b
GUCY1A2	Ex5b
TESPA1	Ex5b
AC007246.3	Ex5b
HTR2C	Ex6a
IFNG-AS1	Ex6a
ASIC2	Ex6a
NPSR1-AS1	Ex6a
TSHZ2	Ex6a
RP11-420N3.3	Ex6a
ROBO3	Ex6a
DPP10	Ex6a
ITGA8	Ex6a
ZNF385D	Ex6a
HS3ST4	Ex6a
PCP4	Ex6a
CRYM	Ex6a
TMEM155	Ex6a
LRP1B	Ex6a
LHFPL3	Ex6a
KCNT2	Ex6a
SEMA5B	Ex6a
GRM8	Ex6a
DIRAS2	Ex6a
MDGA2	Ex6a
SORCS2	Ex6a
OLFM3	Ex6a
MEG3	Ex6a
PRR16	Ex6a
TLE4	Ex6a
GRIP1	Ex6a
TLL1	Ex6a
KCNIP1	Ex6a
FGFR1	Ex6a
TRHDE	Ex6a
CHRM2	Ex6a
CPNE4	Ex6a
LUZP2	Ex6a
ANKRD20A5P	Ex6a
BCL11B	Ex6a
GHR	Ex6a
KIAA1456	Ex6a
SEMA3E	Ex6a
CNTNAP2	Ex6a
CDH8	Ex6a
DAB1	Ex6a
KCNB2	Ex6a
COL11A1	Ex6a
TOX	Ex6a
SLC24A2	Ex6a
MYRIP	Ex6a
RYR2	Ex6a
NLGN1	Ex6a
VWC2L	Ex6a
MAPK10	Ex6a
DPY19L1	Ex6a
SNTG1	Ex6a
DSCAM	Ex6a
NRG3	Ex6a
FOXP2	Ex6a
DCLK1	Ex6a
GRIN3A	Ex6a
CLSTN2	Ex6a
ERC2	Ex6a
SPOCK1	Ex6a
KIAA1217	Ex6a
LDB2	Ex6a
PTPRD	Ex6a
CDH13	Ex6a
ENPP7P4	Ex6a
ZNF385B	Ex6a
KHDRBS2	Ex6a
RALGPS2	Ex6a
ALCAM	Ex6a
ADAMTS19	Ex6a
NKAIN2	Ex6a
MGAT4C	Ex6a
AGBL4	Ex6a
DLC1	Ex6a
ADCY2	Ex6a
OPCML	Ex6a
PDZRN4	Ex6a
RANBP17	Ex6a
PCDH17	Ex6a
CSMD3	Ex6a
GALNT14	Ex6a
KCTD8	Ex6a
GRM5	Ex6a
SYT1	Ex6a
STXBP6	Ex6a
LMO7	Ex6a
GABRG3	Ex6a
GRM3	Ex6a
LRRTM3	Ex6a
CHSY3	Ex6a
CORO6	Ex6a
DCC	Ex6a
FARP1	Ex6a
UST	Ex6a
PTPN13	Ex6a
TRPM2	Ex6a
MEIS2	Ex6a
RP11-586K2.1	Ex6a
NYAP2	Ex6a
PLXNA4	Ex6a
DOCK4	Ex6a
SGCD	Ex6a
EML6	Ex6a
SLC44A5	Ex6a
DIP2A	Ex6a
KIAA0319	Ex6a
KLHL5	Ex6a
BACH2	Ex6a
MLLT4	Ex6a
SH3RF3	Ex6a
STRBP	Ex6a
CAMK2D	Ex6a
CTC-340A15.2	Ex6a
ITM2C	Ex6a
TMEM232	Ex6a
DPY19L2P1	Ex6a
FRAS1	Ex6a
CELF2	Ex6a
ZNF704	Ex6a
MAP1B	Ex6a
CHN1	Ex6a
HS6ST3	Ex6a
MAGI3	Ex6a
SDK1	Ex6a
SCN3B	Ex6a
MYT1L	Ex6a
CADPS	Ex6a
AC074363.1	Ex6a
PCDH11Y	Ex6a
PTPRR	Ex6a
NELL2	Ex6a
SLC24A3	Ex6a
FRMD4A	Ex6a
ASTN2	Ex6a
LINGO2	Ex6a
KCNH7	Ex6a
NELL1	Ex6a
SLC35F3	Ex6a
RP1-34H18.1	Ex6a
GRIN2B	Ex6a
PAK7	Ex6a
PHACTR1	Ex6a
RPH3A	Ex6a
HERC1	Ex6a
NBEA	Ex6a
CERS6	Ex6a
KCNQ3	Ex6a
ARPP21	Ex6a
XKR6	Ex6a
DLGAP4	Ex6a
SLC35F1	Ex6a
PTPRN2	Ex6a
GRIN2A	Ex6a
PAK3	Ex6a
SOX5	Ex6a
OXR1	Ex6a
ST6GALNAC5	Ex6a
EVL	Ex6a
HIVEP2	Ex6a
SNCA	Ex6a
GPR158	Ex6a
AC005592.2	Ex6a
LRRC4C	Ex6a
TLN2	Ex6a
LRRC7	Ex6a
AEBP2	Ex6a
FMN2	Ex6a
ANKRD30BL	Ex6a
ELAVL4	Ex6a
NEGR1	Ex6a
MACROD2	Ex6a
BCL11A	Ex6a
PRICKLE1	Ex6a
CAP2	Ex6a
IDS	Ex6a
RNF144A	Ex6a
TANC2	Ex6a
CACNB4	Ex6a
SCN8A	Ex6a
FRMPD4	Ex6a
EPHA5	Ex6a
RPS6KC1	Ex6a
CDK14	Ex6a
SV2B	Ex6a
HDAC9	Ex6a
CHL1	Ex6a
BMPER	Ex6a
MARK1	Ex6a
SORL1	Ex6a
PLEKHA5	Ex6a
PGM2L1	Ex6a
EFR3A	Ex6a
SETBP1	Ex6a
FAM189A1	Ex6a
SORBS2	Ex6a
RP5-921G16.1	Ex6a
SLC8A1	Ex6a
TUBA1B	Ex6a
TPST1	Ex6a
ARHGAP44	Ex6a
CACNA1B	Ex6a
RAP1GAP2	Ex6a
HCN1	Ex6a
BRAF	Ex6a
KCNJ6	Ex6a
BASP1	Ex6a
ZFYVE28	Ex6a
EXOC4	Ex6a
SPAG16	Ex6a
NDFIP1	Ex6a
ZBTB16	Ex6a
SUSD4	Ex6a
RAPGEF4	Ex6a
PTPRT	Ex6a
FAM49A	Ex6a
MICU1	Ex6a
IQSEC1	Ex6a
UCHL1	Ex6a
LINC00632	Ex6a
KIFAP3	Ex6a
MYO5A	Ex6a
PLCL2	Ex6a
SRRM3	Ex6a
EPB41L3	Ex6a
GABRA1	Ex6a
FAM153B	Ex6a
ASAP1	Ex6a
DANT2	Ex6a
RBM5	Ex6a
KHDRBS3	Ex6a
CACNG3	Ex6a
SHISA9	Ex6a
HS3ST4	Ex6b
SEMA3E	Ex6b
ASIC2	Ex6b
KIAA1217	Ex6b
DPP10	Ex6b
LRP1B	Ex6b
PTPRD	Ex6b
MDGA2	Ex6b
EGFEM1P	Ex6b
ROBO2	Ex6b
DLC1	Ex6b
SLC8A1	Ex6b
RALYL	Ex6b
PDZRN4	Ex6b
TLE4	Ex6b
CSMD1	Ex6b
MEG3	Ex6b
CLSTN2	Ex6b
RYR3	Ex6b
FOXP2	Ex6b
RXFP1	Ex6b
MCTP1	Ex6b
RYR2	Ex6b
PHACTR1	Ex6b
RP11-586K2.1	Ex6b
LRRTM4	Ex6b
TMEFF2	Ex6b
SLC35F1	Ex6b
NRG3	Ex6b
SLIT1	Ex6b
TRPM3	Ex6b
CADPS	Ex6b
SYNPO2	Ex6b
OLFM3	Ex6b
SYT1	Ex6b
PDE4D	Ex6b
NRG1	Ex6b
ARPP21	Ex6b
CELF2	Ex6b
NKAIN2	Ex6b
LUZP2	Ex6b
FRMPD4	Ex6b
KALRN	Ex6b
EPHA5	Ex6b
DLG2	Ex6b
GRIK3	Ex6b
GABRG3	Ex6b
AGBL4	Ex6b
KCNH5	Ex6b
KHDRBS3	Ex6b
FAM155A	Ex6b
KCNH7	Ex6b
DMD	Ex6b
COL24A1	Ex6b
PEX5L	Ex6b
ATP2B1	Ex6b
SORBS2	Ex6b
SCN3B	Ex6b
DSCAM	Ex6b
RP1-34H18.1	Ex6b
PRKCB	Ex6b
MIR137HG	Ex6b
SV2B	Ex6b
NPTX1	Ex6b
PDE1A	Ex6b
OPCML	Ex6b
XKR4	Ex6b
MEIS2	Ex6b
NELL2	Ex6b
LINC01122	Ex6b
CACNA2D3	Ex6b
PCDH11X	Ex6b
ERC2	Ex6b
GRIA3	Ex6b
DIRAS2	Ex6b
PRKAG2	Ex6b
CHSY3	Ex6b
DCLK1	Ex6b
ANKS1B	Ex6b
AQP4-AS1	Ex6b
LDB2	Ex6b
KCNMB4	Ex6b
AK5	Ex6b
MMP16	Ex6b
PCDH11Y	Ex6b
LRRC7	Ex6b
SEZ6L	Ex6b
DGKG	Ex6b
PAK7	Ex6b
TANC2	Ex6b
AFF3	Ex6b
CHN1	Ex6b
RAP1GAP2	Ex6b
GRM5	Ex6b
PCLO	Ex6b
LARGE	Ex6b
DGKI	Ex6b
ADCY1	Ex6b
ZFPM2	Ex6b
NFIB	Ex6b
KHDRBS2	Ex6b
DPY19L2P1	Ex6b
NEGR1	Ex6b
KCNQ5	Ex6b
AC091878.1	Ex6b
C8orf34	Ex6b
RAP1GAP	Ex6b
FRAS1	Ex6b
NRCAM	Ex6b
GRM3	Ex6b
CACNA1E	Ex6b
NDFIP2	Ex6b
CCSER1	Ex6b
DOCK4	Ex6b
CAMK2D	Ex6b
DIP2A	Ex6b
ADAM23	Ex6b
PRICKLE1	Ex6b
CNTNAP5	Ex6b
GARNL3	Ex6b
SLIT3	Ex6b
TMEM178A	Ex6b
KIAA1456	Ex6b
POU6F2	Ex6b
BCL11A	Ex6b
HECW1	Ex6b
PCDH7	Ex6b
DSCAML1	Ex6b
PTPRN2	Ex6b
RIMS2	Ex6b
PLEKHA5	Ex6b
MLLT4	Ex6b
NGEF	Ex6b
SLC17A7	Ex6b
FBXW7	Ex6b
MARCH1	Ex6b
MAP2	Ex6b
CHRM3	Ex6b
SOX5	Ex6b
KCNMA1	Ex6b
DOK6	Ex6b
GUCY1A2	Ex6b
OXR1	Ex6b
PCSK2	Ex6b
CAMK2G	Ex6b
NAV3	Ex6b
AC011288.2	Ex6b
DKK3	Ex6b
MYT1L	Ex6b
STXBP5	Ex6b
ARHGAP26	Ex6b
TENM3	Ex6b
DYNC1I1	Ex6b
KIAA1211L	Ex6b
CABP1	Ex6b
BMPER	Ex6b
ERICH1-AS1	Ex6b
PAK3	Ex6b
PRICKLE2	Ex6b
PTPRR	Ex6b
KCTD1	Ex6b
CELF4	Ex6b
STXBP5-AS1	Ex6b
CACNG3	Ex6b
KIAA0930	Ex6b
SORCS3	Ex6b
CDH2	Ex6b
SEPT11	Ex6b
ASAP1	Ex6b
SLC4A10	Ex6b
MKL2	Ex6b
AP001347.6	Ex6b
WDR17	Ex6b
GAS7	Ex6b
NIN	Ex6b
MLIP	Ex6b
PGM2L1	Ex6b
GABRB3	Ex6b
CACNA1B	Ex6b
MIAT	Ex6b
PPM1E	Ex6b
GPR158	Ex6b
LRRTM3	Ex6b
PTPRG	Ex6b
EFNA5	Ex6b
UCHL1	Ex6b
RAPGEF4	Ex6b
ZNF385B	Ex6b
HIVEP3	Ex6b
CAP2	Ex6b
SOBP	Ex6b
ANKRD36B	Ex6b
HIVEP2	Ex6b
SCN3A	Ex6b
STRBP	Ex6b
TMEM232	Ex6b
ARHGAP44	Ex6b
CHD5	Ex6b
AEBP2	Ex6b
CELF5	Ex6b
PDE8B	Ex6b
FAM153B	Ex6b
ARHGAP32	Ex6b
RP11-166D19.1	Ex6b
NLGN4Y	Ex6b
FUT9	Ex6b
HOMER1	Ex6b
LL22NC03-2H8.5	Ex6b
CSRNP3	Ex6b
KIFC2	Ex6b
PPM1L	Ex6b
PDS5B	Ex6b
KCNB2	Ex6b
AC007246.3	Ex6b
ATP2C1	Ex6b
THY1	Ex6b
DLGAP2	Ex6b
SUSD4	Ex6b
ZNF804B	Ex8
KCNIP4	Ex8
POSTN	Ex8
RGS12	Ex8
MCTP2	Ex8
NRG1	Ex8
SORBS2	Ex8
KCTD16	Ex8
ERC2	Ex8
NTNG2	Ex8
FRAS1	Ex8
LSAMP	Ex8
RP11-384F7.2	Ex8
HS3ST4	Ex8
CADPS	Ex8
GALNT14	Ex8
CLSTN2	Ex8
THEMIS	Ex8
SYT1	Ex8
PDZRN4	Ex8
NWD2	Ex8
TMEM132D	Ex8
HPSE2	Ex8
NR4A2	Ex8
EGFEM1P	Ex8
TENM4	Ex8
GNG2	Ex8
SOX5	Ex8
ATP8B1	Ex8
SEMA6D	Ex8
SYNPR	Ex8
IQCJ-SCHIP1	Ex8
DLG2	Ex8
RIMS2	Ex8
RIT2	Ex8
CDH12	Ex8
SLIT1	Ex8
PDE1A	Ex8
RBFOX1	Ex8
RXFP1	Ex8
CSMD1	Ex8
MAGI3	Ex8
PCDH9	Ex8
PCSK2	Ex8
TESC	Ex8
TRPC5	Ex8
SATB2	Ex8
AK5	Ex8
SPOCK1	Ex8
DACH1	Ex8
CPNE5	Ex8
PPFIBP1	Ex8
RP11-586K2.1	Ex8
ARNTL2	Ex8
KALRN	Ex8
ITGB8	Ex8
CCK	Ex8
LAMA4	Ex8
TENM3	Ex8
GSG1L	Ex8
RASGEF1C	Ex8
ZNF804A	Ex8
RPL31	Ex8
RASGRP1	Ex8
TMSB10	Ex8
MEG3	Ex8
CBLN2	Ex8
CSGALNACT1	Ex8
ARAP2	Ex8
UNC5C	Ex8
PLD5	Ex8
SETBP1	Ex8
RALYL	Ex8
CUX1	Ex8
GNAO1	Ex8
RP11-739G5.1	Ex8
MMP16	Ex8
SUSD4	Ex8
MAP2K1	Ex8
CACNA1B	Ex8
CELF2	Ex8
DSCAML1	Ex8
MCHR2	Ex8
CADPS2	Ex8
KCNQ3	Ex8
MGAT5	Ex8
ADCY2	Ex8
UNC5D	Ex8
INPP4B	Ex8
CACNA1E	Ex8
DGKI	Ex8
PLEKHA5	Ex8
CPNE4	Ex8
CACNA1C	Ex8
CACNA2D3	Ex8
SGCD	Ex8
NELL2	Ex8
FRMD4A	Ex8
RPL23	Ex8
TRHDE	Ex8
KHDRBS2	Ex8
KCNQ5	Ex8
SYNJ2	Ex8
CHSY3	Ex8
LRFN2	Ex8
CNTNAP5	Ex8
RPS18	Ex8
GABRG3	Ex8
ADGRL2	Ex8
NECAB1	Ex8
DCLK1	Ex8
CPLX2	Ex8
FMN1	Ex8
RPS4X	Ex8
SEZ6L	Ex8
NPTX1	Ex8
SORCS3	Ex8
MTUS2	Ex8
GRIP1	Ex8
DGKH	Ex8
CHRM3	Ex8
SIPA1L1	Ex8
RPL37A	Ex8
CDKL5	Ex8
RP1-34H18.1	Ex8
LMO4	Ex8
SYT7	Ex8
SORBS1	Ex8
NELL1	Ex8
ERICH1-AS1	Ex8
TANC2	Ex8
ADAM23	Ex8
EFNA5	Ex8
GNG7	Ex8
PTPRN2	Ex8
FAM134B	Ex8
PRICKLE2	Ex8
KCNT2	Ex8
ABCC8	Ex8
ENOX1	Ex8
C16orf45	Ex8
RP11-191L9.4	Ex8
SHC3	Ex8
STXBP5-AS1	Ex8
RPS12	Ex8
PDZRN3	Ex8
CDC14B	Ex8
BAIAP2	Ex8
DGKZ	Ex8
RPL13A	Ex8
CTDSPL	Ex8
ATP5E	Ex8
CELF4	Ex8
PRKCB	Ex8
PTPRT	Ex8
ZNF385B	Ex8
FBXL2	Ex8
POU6F2	Ex8
MCF2L2	Ex8
RAP1GAP2	Ex8
CNTN4	Ex8
CDH2	Ex8
CAMKK2	Ex8
RPS27A	Ex8
VPS13D	Ex8
RPLP2	Ex8
NRCAM	Ex8
NBEA	Ex8
NDFIP2	Ex8
LRRN2	Ex8
ADGRB3	Ex8
RPL34	Ex8
RPS6	Ex8
ARPP19	Ex8
CDK14	Ex8
RPL35	Ex8
SNCA	Ex8
SLC8A1	Ex8
TMEM178A	Ex8
RPL27	Ex8
MIR137HG	Ex8
RPL32	Ex8
BMPER	Ex8
LINGO1	Ex8
SEPT11	Ex8
LARGE	Ex8
HINT1	Ex8
ST8SIA5	Ex8
MBOAT2	Ex8
GRIA1	Ex8
RPS24	Ex8
MAST3	Ex8
CCDC3	Ex8
ATP2B2	Ex8
PDE2A	Ex8
OSBPL3	Ex8
CTNNAL1	Ex8
EPHA4	Ex8
SV2B	Ex8
RPL21	Ex8
MIAT	Ex8
MKL2	Ex8
FOXP1	Ex8
PTPRO	Ex8
TAGLN3	Ex8
RPS15	Ex8
GNPTAB	Ex8
NAV3	Ex8
RPL37	Ex8
RASA2	Ex8
MAN1A2	Ex8
CAMK1D	Ex8
RPLP1	Ex8
LARP1B	Ex8
CREG2	Ex8
GAP43	Ex8
ATP2B1	Ex8
SLC4A10	Ex8
PTPRR	Ex8
TRIM9	Ex8
RPL13	Ex8
UNC13A	Ex8
KCTD1	Ex8
CYTH1	Ex8
TMEM178B	Ex8
GABRB3	Ex8
MEF2A	Ex8
CCNI	Ex8
GUK1	Ex8
SRGAP3	Ex8
ITPR1	Ex8
KCNH3	Ex8
NPAS2	Ex8
C11orf80	Ex8
SLC17A7	Ex8
UQCRB	Ex8
WSB1	Ex8
MAGI1	Ex8
SEPW1	Ex8
ARHGAP21	Ex8
MNAT1	Ex8
UCHL1	Ex8
ACTN1	Ex8
ARHGAP44	Ex8
RPS19	Ex8
RPL38	Ex8
DYNLL1	Ex8
RPL3	Ex8
RPS14	Ex8
FMN2	Ex8
GLS	Ex8
EXOC6	Ex8
CHD5	Ex8
RPS8	Ex8
SCN3A	Ex8
PPP2R2C	Ex8
CABP1	Ex8
HOMER1	Ex8
PRICKLE1	Ex8
PDE8B	Ex8
SOBP	Ex8
PRMT8	Ex8
DLGAP2	Ex8
BRINP2	Ex8
STMN1	Ex8
SLF1	Ex8
TASP1	Ex8
PACRG	Ex8
WASF1	Ex8
NIN	Ex8
TTLL11	Ex8
BDP1	Ex8
PPFIA2	Ex8
GUCY1A2	Ex8
THY1	Ex8
STXBP5	Ex8
ROCK2	Ex8
RABGAP1	Ex8
OLFM3	Ex8
AC091878.1	Ex8
PPP2R5C	Ex8
GFOD1	Ex8
ICA1L	Ex8
NETO1	Ex8
DZIP3	Ex8
TACC1	Ex8
KIAA1211L	Ex8
TARBP1	Ex8
ZNF365	Ex8
CELF5	Ex8
AQP4-AS1	Ex8
FHOD3	Ex8
PLXNA4	Ex8
RPS6KC1	Ex8
RSRP1	Ex8
DOK6	Ex8
KIF5A	Ex8
ABLIM2	Ex8
KIFC2	Ex8
CALM3	Ex9
NEFL	Ex9
CCDC85B	Ex9
YWHAH	Ex9
RGS4	Ex9
NRGN	Ex9
TMSB4X	Ex9
TUBA1B	Ex9
TMSB10	Ex9
THY1	Ex9
YWHAG	Ex9
SYP	Ex9
CHN1	Ex9
RTN3	Ex9
CADM3	Ex9
FTH1	Ex9
NRN1	Ex9
ENC1	Ex9
MAP1B	Ex9
ATP6V1B2	Ex9
NAPB	Ex9
FAIM2	Ex9
CALM1	Ex9
GPX3	Ex9
DLG2	Ex9
ACTB	Ex9
ARPP19	Ex9
STMN2	Ex9
RAB3A	Ex9
UQCRH	Ex9
RPL41	Ex9
PGAM1	Ex9
SNAP25	Ex9
PSAP	Ex9
SERINC1	Ex9
NEFM	Ex9
PCSK1N	Ex9
EIF4A2	Ex9
SNCG	Ex9
SNCB	Ex9
NSF	Ex9
ENO2	Ex9
ADGRB3	Ex9
PREPL	Ex9
CLSTN1	Ex9
TSPYL1	Ex9
ATP1B1	Ex9
ATP1A3	Ex9
TUBB4A	Ex9
PHYHIP	Ex9
ATP6V0E2	Ex9
PRNP	Ex9
MLLT11	Ex9
SARAF	Ex9
DSE	Ex9
ATP2A2	Ex9
PKM	Ex9
NDRG4	Ex9
GNG3	Ex9
MAGI2	Ex9
DYNLT3	Ex9
RAB6B	Ex9
GAP43	Ex9
SERF2	Ex9
TSPAN7	Ex9
RNF11	Ex9
LRP1B	Ex9
GUK1	Ex9
CYCS	Ex9
DHCR24	Ex9
SNCA	Ex9
OLFM1	Ex9
DPYSL2	Ex9
EIF1	Ex9
LINGO1	Ex9
RPL15	Ex9
COX7C	Ex9
SYN1	Ex9
RTN4	Ex9
NRG3	Ex9
SYT4	Ex9
GHITM	Ex9
SCOC	Ex9
DYNLL1	Ex9
ATP6AP2	Ex9
RPL3P4	Ex9
GPX4	Ex9
YWHAB	Ex9
APLP2	Ex9
FTL	Ex9
NCDN	Ex9
BRK1	Ex9
RTN1	Ex9
HINT1	Ex9
WSB2	Ex9
FTH1P8	Ex9
SPOCK2	Ex9
NAT8L	Ex9
HOPX	Ex9
CSMD1	Ex9
PDE4D	Ex9
PCDH9-AS1	Ex9
SERINC3	Ex9
GDI1	Ex9
SYNGR1	Ex9
PRKAR1A	Ex9
BNIP3	Ex9
CFL1	Ex9
FTX	Ex9
SLC17A7	Ex9
UQCRHL	Ex9
DIRAS2	Ex9
CTXN1	Ex9
DKK3	Ex9
KLHDC3	Ex9
STXBP1	Ex9
PJA2	Ex9
REEP5	Ex9
VSNL1	Ex9
COX7CP1	Ex9
VDAC1	Ex9
SULT4A1	Ex9
IL1RAPL1	Ex9
SNX10	Ex9
CAMK2A	Ex9
STMN3	Ex9
TPI1	Ex9
PPIA	Ex9
TMEM160	Ex9
TOLLIP	Ex9
SNHG14	Ex9
LY6E	Ex9
PTPRD	Ex9
PCDH9	Ex9
PIN1	Ex9
FAM155A	Ex9
PTMS	Ex9
ATP6V1A	Ex9
ISCU	Ex9
SV2A	Ex9
CPLX1	Ex9
KCNAB2	Ex9
BEX4	Ex9
YWHAZ	Ex9
GPHN	Ex9
LSAMP	Ex9
KCNIP4	Ex9
PCP4	Ex9
GABRA1	Ex9
BSG	Ex9
CREG2	Ex9
SLC39A10	Ex9
SNX3	Ex9
NLGN1	Ex9
SYT11	Ex9
BAD	Ex9
LRRTM4	Ex9
CEND1	Ex9
ALDOA	Ex9
ANKS1B	Ex9
HSP90AA1	Ex9
SNRNP25	Ex9
DIRAS1	Ex9
NRXN3	Ex9
PRKAR1B	Ex9
TMA7	Ex9
NUDT4	Ex9
LMO4	Ex9
SIRPA	Ex9
FKBP8	Ex9
DMD	Ex9
CADM2	Ex9
CLTC	Ex9
CCK	Ex9
TMEM59L	Ex9
CHCHD10	Ex9
SYT13	Ex9
ATP1A1	Ex9
APP	Ex9
MORF4L1	Ex9
RPS15	Ex9
SH3BGRL3	Ex9
CHGA	Ex9
PPDPF	Ex9
NRXN1	Ex9
CCSER1	Ex9
NDUFA5	Ex9
FKBP1B	Ex9
GOT1	Ex9
CPE	Ex9
LDHA	Ex9
KIF5A	Ex9
FRMD4A	Ex9
POLR2K	Ex9
PNMA2	Ex9
NKAIN2	Ex9
RUNDC3A	Ex9
KLC1	Ex9
SNTG1	Ex9
TAGLN3	Ex9
CCK	In1a
CNR1	In1a
CXCL14	In1a
ADARB2	In1a
CRH	In1a
GALNTL6	In1a
CNTN5	In1a
ROBO2	In1a
RP11-123O10.4	In1a
CHRNA7	In1a
NPAS3	In1a
RGS12	In1a
RBMS3	In1a
WIF1	In1a
RELN	In1a
NR2F2-AS1	In1a
IL1RAPL2	In1a
NECAB2	In1a
DLX6-AS1	In1a
GRIP1	In1a
GRIK2	In1a
SORCS3	In1a
ROBO1	In1a
PLCXD3	In1a
AP1S2	In1a
GRIK1	In1a
SHISA9	In1a
TIMP2	In1a
ARL4C	In1a
ZNF385D	In1a
NPAS1	In1a
ADRA1A	In1a
MYO16	In1a
CNTNAP2	In1a
PLS3	In1a
IGF1	In1a
GABRA1	In1a
GAD1	In1a
SGOL1-AS1	In1a
KIAA1211	In1a
